collision_index,longitude,latitude,date,time,road_type,speed_limit,junction_detail,junction_control,pedestrian_crossing,light_conditions,weather_conditions,road_surface_conditions,carriageway_hazards,urban_or_rural_area,area,num_casualties,severity_score
C202600000,-1.81086,53.95431,01/06/2026,00:00,1,30,5,4,1,5,1,1,0,2,Yorkshire,1,5
C202600001,-1.05962,50.92043,01/06/2026,00:00,6,30,0,2,0,5,8,1,0,2,South East,2,7
C202600002,-0.31029,51.42126,01/06/2026,00:01,6,30,3,1,5,1,1,4,0,1,London,3,5
C202600003,-2.62901,53.71178,01/06/2026,00:01,6,70,5,0,0,6,1,2,7,1,North West,1,7
C202600004,-0.91708,52.81259,01/06/2026,00:01,6,50,0,2,0,1,1,1,0,1,East Midlands,1,4
C202600005,-2.32515,52.23663,01/06/2026,00:01,7,30,3,0,0,1,2,2,0,2,West Midlands,1,6
C202600006,-0.30482,51.20167,01/06/2026,00:01,6,30,5,-1,0,5,2,2,7,2,London,2,8
C202600007,-1.43979,52.91271,01/06/2026,00:01,6,20,0,1,0,1,2,2,0,1,East Midlands,1,6
C202600008,-3.01308,53.7503,01/06/2026,00:01,6,70,5,4,0,1,2,1,0,1,North West,1,5
C202600009,-1.48494,52.90194,01/06/2026,00:02,6,40,0,1,0,1,1,2,0,1,East Midlands,1,5
C202600010,-1.35564,53.70484,01/06/2026,00:02,6,30,3,0,0,1,1,2,0,1,Yorkshire,2,6
C202600011,-1.52386,54.0823,01/06/2026,00:02,6,30,2,4,0,1,1,1,0,2,Yorkshire,2,6
C202600012,-1.56921,54.94326,01/06/2026,00:02,6,70,3,2,0,7,1,1,0,1,North East,4,8
C202600013,-3.01968,51.54176,01/06/2026,00:02,6,40,3,2,5,4,1,2,0,1,Wales,2,7
C202600014,-1.49624,54.84897,01/06/2026,00:03,9,30,0,0,0,1,1,1,0,1,North East,1,4
C202600015,-0.63851,50.73538,01/06/2026,00:03,6,60,3,-1,0,1,2,1,0,2,South East,1,6
C202600016,-1.05355,53.9017,01/06/2026,00:03,6,40,3,2,0,1,5,1,0,2,Yorkshire,2,7
C202600017,-2.42543,53.29789,01/06/2026,00:03,2,30,0,4,5,5,1,9,0,1,North West,1,6
C202600018,-0.83991,51.8299,01/06/2026,00:03,6,30,3,2,0,1,1,1,1,2,London,2,7
C202600019,-3.38165,50.60132,01/06/2026,00:03,7,50,1,2,1,1,1,1,0,1,South West,2,6
C202600020,-0.49756,50.87247,01/06/2026,00:04,6,20,0,2,0,5,2,1,0,2,South East,2,7
C202600021,-3.05047,51.7307,01/06/2026,00:04,6,60,5,0,0,1,1,-1,0,2,Wales,4,10
C202600022,-1.76665,55.12067,01/06/2026,00:05,6,40,0,-1,0,5,1,2,0,2,North East,1,7
C202600023,-3.44885,51.33792,01/06/2026,00:05,6,30,5,0,0,5,1,2,0,2,Wales,1,6
C202600024,-3.51823,50.72526,01/06/2026,00:05,6,30,6,2,0,1,2,2,7,1,South West,1,5
C202600025,-2.42288,53.28955,01/06/2026,00:05,6,30,0,2,0,4,1,1,0,2,North West,2,7
C202600026,-2.37296,53.64557,01/06/2026,00:06,3,40,-1,4,0,5,1,2,0,1,North West,1,6
C202600027,-2.0911,55.06882,01/06/2026,00:06,1,60,6,0,0,1,1,2,0,1,North East,2,8
C202600028,-0.66246,51.48771,01/06/2026,00:06,6,30,3,0,5,1,1,1,0,1,South East,1,5
C202600029,-1.56585,52.45278,01/06/2026,00:07,6,70,0,4,0,7,2,1,1,1,West Midlands,1,7
C202600030,-2.39906,53.40603,01/06/2026,00:07,6,60,3,4,0,4,1,9,0,1,North West,1,6
C202600031,-0.88466,53.58767,01/06/2026,00:07,3,30,3,1,0,1,1,9,7,2,Yorkshire,1,6
C202600032,-2.7822,53.32065,01/06/2026,00:07,9,70,3,2,0,1,8,1,0,1,North West,1,7
C202600033,-2.21658,52.54679,01/06/2026,00:08,6,30,3,0,0,1,5,2,0,1,West Midlands,1,3
C202600034,-1.66924,52.21789,01/06/2026,00:08,6,40,0,-1,0,1,2,9,0,1,West Midlands,4,8
