collision_index,vehicle_reference,vehicle_type,age_of_driver,age_of_vehicle
C202600000,1,5,43,18
C202600000,2,5,80,13
C202600001,1,9,74,22
C202600002,1,9,68,15
C202600002,2,3,82,14
C202600003,1,19,74,9
C202600004,1,9,20,1
C202600005,1,9,17,21
C202600006,1,5,39,18
C202600006,2,9,64,4
C202600007,1,19,53,3
C202600007,2,19,21,13
C202600008,1,5,68,23
C202600009,1,9,63,8
C202600010,1,9,36,4
C202600010,2,9,81,17
C202600011,1,9,45,16
C202600011,2,9,26,11
C202600012,1,9,45,2
C202600012,2,3,70,12
C202600013,1,3,41,-1
C202600013,2,9,64,16
C202600014,1,9,74,23
C202600014,2,3,72,13
C202600015,1,3,21,18
C202600016,1,5,46,20
C202600016,2,11,71,-1
C202600017,1,9,59,1
C202600017,2,9,54,24
C202600018,1,9,23,20
C202600018,2,9,53,13
C202600019,1,9,52,6
C202600019,2,9,34,3
C202600020,1,11,-1,16
C202600020,2,3,22,13
C202600021,1,9,19,10
C202600021,2,9,26,12
C202600021,3,5,39,11
C202600022,1,3,53,8
C202600022,2,19,81,3
C202600023,1,9,19,6
C202600024,1,11,65,20
C202600024,2,19,34,7
C202600025,1,3,17,5
C202600026,1,9,56,21
C202600027,1,3,82,12
C202600027,2,1,58,21
C202600028,1,5,71,11
C202600028,2,9,32,2
C202600029,1,9,66,12
C202600029,2,5,46,18
C202600029,3,9,46,6
C202600030,1,9,66,-1
C202600031,1,9,37,10
C202600031,2,5,54,11
C202600032,1,9,81,0
C202600032,2,9,22,12
C202600033,1,9,80,19
C202600034,1,11,52,14
C202600034,2,9,76,5
C202600035,1,3,50,20
C202600035,2,19,-1,18
C202600036,1,11,75,16
C202600036,2,9,25,4
C202600037,1,11,41,21
C202600037,2,9,40,3
C202600038,1,11,51,9
C202600038,2,11,23,8
C202600038,3,9,75,10
C202600038,4,1,65,16
C202600039,1,9,83,24
C202600039,2,9,22,1
C202600039,3,9,73,11
C202600039,4,9,53,7
C202600040,1,9,24,22
C202600041,1,9,26,5
C202600042,1,11,30,3
C202600042,2,11,83,10
C202600043,1,9,59,10
C202600043,2,9,46,17
C202600044,1,9,29,7
C202600044,2,9,68,16
C202600045,1,9,74,4
C202600045,2,9,24,8
C202600045,3,9,32,10
C202600046,1,11,46,13
C202600047,1,9,48,21
C202600047,2,9,40,9
C202600048,1,3,29,13
C202600049,1,3,41,2
C202600050,1,9,22,0
C202600050,2,9,71,15
C202600051,1,11,68,3
C202600051,2,9,69,1
C202600052,1,9,81,6
C202600052,2,11,73,16
C202600052,3,11,72,-1
C202600053,1,5,62,11
C202600053,2,19,65,9
C202600054,1,5,53,-1
C202600055,1,9,40,10
C202600056,1,9,66,9
C202600057,1,9,70,18
C202600057,2,1,18,23
C202600058,1,9,70,10
C202600058,2,3,54,3
C202600059,1,9,75,1
C202600059,2,9,17,19
C202600059,3,9,49,15
C202600060,1,9,40,15
C202600061,1,11,25,5
C202600061,2,9,18,5
C202600061,3,9,29,21
C202600062,1,9,57,12
C202600063,1,5,37,7
C202600063,2,1,84,21
C202600064,1,9,38,5
C202600064,2,3,76,23
C202600064,3,3,43,15
C202600065,1,11,72,2
C202600066,1,19,57,12
C202600066,2,9,73,14
C202600067,1,3,46,2
C202600067,2,9,63,23
C202600068,1,11,63,24
C202600069,1,11,32,5
C202600069,2,9,83,5
C202600070,1,9,-1,16
C202600070,2,3,35,24
C202600070,3,19,31,14
C202600070,4,3,49,23
C202600071,1,9,56,21
C202600071,2,9,79,13
C202600072,1,9,22,5
C202600073,1,9,44,12
C202600074,1,19,38,24
C202600075,1,9,80,8
C202600075,2,3,20,21
C202600075,3,9,71,18
C202600076,1,9,56,13
C202600076,2,9,31,7
C202600077,1,11,33,8
C202600078,1,9,21,6
C202600078,2,9,75,8
C202600078,3,9,31,21
C202600078,4,19,34,5
C202600079,1,5,79,0
C202600079,2,5,58,16
